ID	語形	品詞	燐字	意味	関連語	関連語ID	関連語タグ	同根語	関連する理語	例文	備考	799
248	haroa	名詞		ノイズ								
249	haumei	形容詞		山の、山岳の					bleiformajera, hormarverdzar			
250	hea	副詞		連れだって、組になって					pirfem			
251	hema	形容詞	美	美しい				hem1.pk, hámúḷ.bt				
252	hema	名詞；名詞；名詞		根（数学）；根元；語根								
253	hep'iai	名詞	地	地方	-hep, hepe	2, 794	派生関係；派生関係	huep2.pk, epa.bt				
254	hewe	名詞；名詞		岩、岩石；岩山、岩礁				eghi.bt	hervianni		【石】で書ける可能性がある	
255	hiki	名詞	東	ひがし 東								
256	hiya	名詞	心	こころ 心				hia1.pk, heyáúḷ.bt, híja.bt, ha.bt, rijúḷ.bt, ijalu.tk				
257	hoduo	名詞		特許、特許証					hoduo			
258	hogue	名詞		会話、会談								
259	hona	形容詞	綿	綿羽のような、綿羽でできた、うぶ毛の生えた、綿毛に覆われた				hon1.pk				
260	hotei	名詞		代用、取換え、代入				otúḷ.bt				
261	hovi	名詞	骨	骨				ho2.pk				
262	hoyi	名詞	棚	書棚				hy2.pk				
263	huangi	名詞	麦	麦、小麦	huagei	803	派生関係		marfakhardz			
264	hubwa	接続詞	即	すなわち、つまり				hem.pk, -úp.bt, ken.tk				
265	hungaai	動詞		削り取る、こそげる				kuṇannúḷ.bt?				
266	hupo	名詞	木	き 木				hup1.pk				
267	huroe	形容詞	少	少しの、わずかの				hue1.pk				
268	huroo	名詞	墨	墨（固形物）	huroja	806	派生関係	huo2.pk, horabát.bt				
269	i	後置詞		～ら、～達				i.tk				
270	i	小辞		～ではない、～ない				i2.pk			/i:/と長音で読まれる傾向がある。	
271	ia	後置詞；後置詞	於	～に；～から				ie.pk, hína.bt				
272	iaki	名詞		ルビー、紅玉					jarke			
273	iama	名詞；動詞	口	口；食べる、飲む				iam1.pk				
274	iasi	名詞		兄、姉、年長のきょうだい								
275	idua	動詞		塩を加える、塩漬けにする								
276	iki	名詞；形容詞	八	八、8；八つの							活用の際に長子音化が起こらない。	
277	ikisa	名詞		積み木、つみき				ghikísa.bt	ekcan			
278	ikiti	名詞	横	横					ektir, netekte			
279	iku	名詞；形容詞	二	二、2；二つの				ik2.pk, ríka.bt			活用の際に長子音化が起こらない。	
280	ime	名詞		くき 茎					molojaine			
281	imika	動詞	思	おもう,思う				imiku.tk				
282	imisa	形容詞	軽	かるい,軽い				mit2.pk				
283	imitu	名詞		普通、通常					emert			
284	imu	名詞	毛	毛				im1.pk				
285	imuti	名詞		大脳					imyti			
286	inini	形容詞	小	小さい	-ni	6	派生関係	ni1.pk, inin-u.tk				
287	inuni	名詞		炭					hervianni			
288	inusi	名詞	川	川、河川				nut2.pk, inuci.tk				
289	inutaku	動詞		中断する、途中でやめる					intakk			
290	iou	名詞	王	王、首相				io.pk				
291	iqiu	名詞	帯	ひも、テープ、帯				ky2.pk				
292	itasi	名詞		ウマ、馬					portvirtax			
293	itua	名詞	果	くだもの、果物				tua1.pk, dhokit.bt				
294	iwa	接続詞	而	そして				ua.pk, ja.bt, wa.tk				
295	jabuu	名詞；動詞		造花、ハリボテ；はったりをかける、虚勢を張ってだます								
296	jaiga	名詞		乳酸					jerga			
297	jailuo	形容詞		有能な、資格のある、権限のある					jelua			
298	jaizi	後置詞		～の中から、～から出た、～のうちの、～製の								
299	jani	動詞；動詞	生	生じる、生まれ出る、生ずる；生む				ian1.pk				
300	jatu	名詞；形容詞	冬	冬；冬の				iat1.pk				
302	jebla	名詞		鈍感な耳					ebladz			
303	jinei	動詞；動詞	閉	閉める、閉じる、閉ざす；終える				in2.pk				
304	jokhi	名詞		嘘				jog.bt				
305	jomo	動詞		歌う								
306	jooi	動詞	直	まっすぐにする,直立させる				io1.pk				
307	josu	名詞	健	大作、傑作					jos			
308	josua	名詞	健	決定的な、最終的な								
309	joveo	名詞	僚	国家公務員								
310	jubuai	接続詞		つまり					arve			
311	juce	名詞	輪	輪、環、指輪				yt2.pk				
312	jukha	形容詞		老衰している、がたがたになっている				rúkasa.bt				
313	jukuku	名詞		ユーゴック				jurkukku.li				
314	juo	名詞	牛	ウシ、牛	juro	317	同根語	io2.pk				
315	juo	動詞		塗装する、メッキする								
316	jup'ui	形容詞		海の					tasierjupuj		理語辞書ではjupóui	
317	juro	名詞	牛	乳牛	juo	314	同根語	io2.pk				
318	jusei	名詞		肉団子				juce.pmcp				
319	k'abaia	形容詞		そでなしの、ノースリーブの					abea			
320	k'ebaie	動詞		燻製にする					xorla		理語辞典ではkóebaie	
321	k'es'ia	名詞		デーツ、ナツメヤシの実					korjzoria		理語辞典ではkóesóia	
322	k'iwea	接続詞		だから、そこで							用例ではkóiwea	
323	k'uaa	名詞；動詞	筆	筆づかい、タッチ；後に残す				kua2.pk				
324	kabu	名詞		二度、二回								
325	kacei	形容詞		地獄に落ちるべき					kachein			
326	kaci	名詞		復讐、仇討ち、報復					kaci			
327	kaga	名詞	時	時間				kak.pk, káṇa.bt				
328	kaiga	動詞		座る								
329	kaika	名詞；動詞	戦	戦い、戦闘、試合；戦う				kaik.pk, kaikúḷ.bt				
330	kaisa	形容詞	善	良い、よい				kait.pk, ket-u.tk				
331	kakana	名詞		身代わり、生贄					karnaxerge			
332	kakita	動詞		割る、わる、分ける					kakites			
333	kakusa	動詞	筆	書く、描く								
334	kami	名詞		神社、お宮					kemie	kami a makati 「マカティ神社」		
335	kanaka	動詞	躍	跳ねる、ジャンプする	kanata	336	同根語	kan1.pk				
336	kanata	動詞	躍	走る	kanaka	335	同根語	kan1.pk				
337	kani	名詞；動詞	火	火、炎；燃える	kanide	804	派生関係	kan1.pk, gháni.bt				
338	kaniti	動詞		持つ								
339	kasi	名詞；形容詞	秋	秋；秋の				kat2.pk				
341	kasui	名詞	硫俐	硫黄	khaicwi	352	同根語	kue cue.pk, kúcuj-.bt, kujacú.bt, kúcú.bt				
342	kasumu	名詞		ごはん、ご飯、炊いた穀物					vismoua			
343	kat^oe	形容詞		おとなしい								
344	kat^oe	動詞	満	いっぱいになる、満ちる	h^ibao	786	対義語		katuroj		理語辞典ではkatúoe	
345	katu	名詞	子	子供、子ども				kat1.pk, ghátu.bt				
346	kaunyou	動詞		嚙む、かみ合う					korniusti'e			
347	kausu	名詞		分					korsissatit?			
348	kawi	名詞		口				kághi.bt				
349	keicwou	間投詞		例えば				keco.pmcp				
350	ket'eo	副詞	常	常に、いつも				ket.pk				
351	khabu	名詞；形容詞	辣	トウガラシ；辛い				kháṣí.bt				
352	khaicwi	形容詞		砂色の（灰色がかった黄色）	kasui, huagei	341, 803	同根語；類義語	kue cue.pk, kúcuj-.bt, kujacú.bt, kúcú.bt				
353	khazu	名詞		場所、ところ、部分、土地								
354	khobau	動詞	試	試す、やってみる、検証する				kop1.pk				
355	khuthe	名詞		砲弾、銃弾					xturkhurte			
356	ki	後置詞		～へ、～に、～を				ghi.bt, ki.tk				
357	kiki	名詞	機	機械、マシン、道具				kik1.pk	afikelixekirk			
358	kikita	間投詞		（青年への呼びかけとしての）兄さん					kirta			
359	kimiku	名詞		枕					kemerk			
360	kimou	形容詞		早い					kirma			
361	kinia	名詞	右	右				ky1.pk				
362	kinuka	名詞	金	金属				kin2.pk				
363	kisamu	動詞		伸ばす				kísamúḷ.bt				
364	kisi	名詞	那	あれ				kí.bt, ki.tk				
365	kisu	名詞	頬	ほお、頬				kicu.tk				
366	kita	名詞；形容詞	百	百、100；百の				kit1.pk, kit1.az				
367	kitu	形容詞	極	とても				kit.pk, kit.bt				
368	koli	動詞	疲	疲れる				koli.bt, koli-lu.tk				
369	kotu	名詞	草	草				kot.pk, koṭ.bt				
370	kouai	動詞；間投詞	謝	謝る、わびる、謝罪する；すみません、ごめんなさい				kuai1.pk				
371	koxua	名詞		魚料理、魚肉	chaula	128	関連語		vismoua, cauxarnekorxa			
372	kuaka	名詞	父	父				kuak1.pk, khak.bt				
373	kunge	動詞；動詞；動詞	付	付ける、置く；入れ墨；入れ墨を入れる				kun2.pk, kug-u.tk				
374	kuniki	名詞		師団					kynik			
375	ky'esiri	名詞		角閃石					kyersi			
376	laitai	名詞	旦	（時間としての）日								
377	lanau	動詞；動詞		追う、追いかける；(その状態に)追いやる				lánahúḷ.bt				
378	laupwau	名詞		選択								
379	leaa	名詞	琴	弦楽器、琴、箏				lia1.pk				
380	lebi	形容詞		この								
381	leitau	名詞		群島、列島					larto			
382	leka	名詞	絵	絵、絵画				lek1.pk, legha.bt, leghúḷ.bt				
383	lexai	形容詞		口頭での、言葉の					lerxenurtha			
384	libwa	名詞	虫	虫、むし、昆虫、（クモ・カタツムリ・ダンゴムシなどの）昆虫でなく、細長くない虫				li2.pk				
385	lihuo	動詞		平たくする、ぺしゃんこにする、潰す				rohúḷ.bt				
386	linaesto olus	名詞		リナエスト・オルス								
387	lingei	形容詞	清	よごれのない、しみのない				lin.pk				
388	lisua	名詞	倉	保管所、倉庫				li1.pk				
389	liwo	動詞	須	～しなければならない、～にちがいない、～はずである				ly.pk				
390	lodu	形容詞	短	短い、みじかい				lot2.pk, rodúḷ.bt				
391	lohu	名詞	煙	煙、けむり、煙たい				lo1.pk				
392	loka	形容詞	寒	寒い、凍えている、凍っている				lok1.pk				
393	lokemyuda	名詞		微妙な状況					myrda			
394	lorua	名詞；動詞	耳	耳、みみ；聞く				lua1.pk				
395	losu	動詞	立	立つ、たつ				lo1.pk, e loc.pmcp				
396	lubu	名詞	鳥	鳥、とり				lup1.pk				
397	lugea	動詞		曇る、雲で覆われる				roṇúḷ.bt				
398	luhai	名詞		豆腐					lurfe			
399	lupe	名詞	玉	翡翠、玉、宝石					lurpe			
400	lutwu	形容詞	新	新しい、生き生きした、若々しい				lu2.pk				
401	lutwu	名詞		階段、ステップ								
402	maadyiti	動詞		つやを出す					madyrti			
403	macwe	動詞		（燃料を足して）火を燃やし続ける	masuni	424	同根語	bacú.bt, bácujúḷ.bt				
404	maiblo	名詞；名詞		ファルセット、裏声；爬虫類					meblo			
405	maikau	名詞；形容詞	茲	これ；この				me.tk			くだけた会話などではmaikauが、改まった会話ではbukaが用いられる傾向にある。	
406	maixaai	名詞		モグラ					xuspiramexaj			
407	maka	名詞；名詞	値	数、数字；点、得点	taunyuroe	792	関連語	mak2.pk, bágha.bt, maka.tk			量としての「数」はtaunyuroeを用いる。	
408	makana	名詞		海					durfemark			
409	makasu	形容詞	長	長い								
410	makati	名詞		マカティ、天神、アイル共和国の首都								
411	makina	名詞		音楽				makina.pmcp				
412	makutu	形容詞		勇ましい				bákatú.bt, bákatúḷ.bt				
413	mamau	名詞		母	manana	416	同根語	mam1.pk, banáman.bt				
414	mammake	名詞		ドラゴンフルーツ					mangmerke			
415	mamu	動詞		なる、成る					pirfem			
416	manana	名詞；名詞	母	（古語）母、母親；マンマナ島	mamau	413	同根語	mam1.pk, banáman.bt, manmana.pmcp			現代では「母」の意味ではmamauを使う。	
417	mani	名詞	字	字、文字				man1.pk, báni.bt, mani.tk				
418	maniku	名詞		言語					menyrkskir			
